# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.12.0
# schema_version: 1.0
# benchmark_id: 4e48ee6216c2
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,target_component,target_endpoint,target_namespace,dp_rank,dynamo_component,dynamo_namespace,model,policy_class,router_worker_id,state,worker_id,worker_type,phase,stage,worker,Description
n3u-mnnvl-88-frontend:8000,gauge,dynamo_frontend_disconnected_clients,,1.6128,0.0000,555.0000,29.8760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,Number of disconnected clients
n3u-mnnvl-88-frontend:8000,gauge,dynamo_request_plane_inflight_requests,requests,1348.6500,0.0000,1730.0000,311.2440,438.1100,800.5500,939.0000,1129.0000,1477.0000,1573.0000,1662.9000,1687.0000,1709.0000,,,,,,,,,,,,,,,,Currently in-flight requests at AddressedPushRouter
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_alive_tasks,,6550.8031,102.0000,8305.0000,1478.1098,2239.2200,3863.0500,4538.0000,5536.0000,7189.0000,7586.0000,8029.9000,8131.0000,8220.0000,,,,,,,,,,,,,,,,Number of alive tasks in the runtime
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_blocking_idle_threads,,7.2224,0.0000,8.0000,1.2639,0.0000,6.0000,6.0000,7.0000,8.0000,8.0000,8.0000,8.0000,8.0000,,,,,,,,,,,,,,,,Number of idle blocking threads
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_blocking_queue_depth,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,Number of tasks in the blocking thread pool queue
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_blocking_threads,,7.8540,0.0000,8.0000,1.0429,0.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,,,,,,,,,,,,,,,,Number of blocking threads
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_global_queue_depth,,0.0005,0.0000,1.0000,0.0233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,Number of tasks in the runtime global queue
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,114.3252,55.0000,1000.0000,45.2635,64.0000,73.0000,81.0000,118.0000,118.0000,118.0000,118.0000,118.0000,136.0000,,,,,,,,,,,,,,,0,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,4.0407,3.0000,385.0000,19.9122,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,1,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,4.4984,3.0000,553.0000,28.6693,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,10,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,67.3147,3.0000,440.0000,40.2430,3.0000,3.0000,3.0000,70.0000,77.0000,79.0000,90.0000,98.0000,194.8900,,,,,,,,,,,,,,,100,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,73.5969,3.0000,631.0000,55.6612,3.0000,3.0000,3.0000,66.0000,77.0000,84.0000,108.0000,128.0000,263.0000,,,,,,,,,,,,,,,101,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,70.9905,3.0000,733.0000,50.7000,3.0000,3.0000,3.0000,69.0000,82.0000,84.0000,93.0000,108.0000,194.8900,,,,,,,,,,,,,,,102,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,71.0553,3.0000,970.0000,56.7441,3.0000,3.0000,3.0000,66.0000,76.0000,82.0000,95.0000,116.0000,238.5600,,,,,,,,,,,,,,,103,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,72.8303,3.0000,582.0000,52.4792,3.0000,3.0000,3.0000,68.0000,85.0000,85.0000,88.0000,102.0000,270.3400,,,,,,,,,,,,,,,104,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,70.6188,3.0000,626.0000,49.6224,3.0000,3.0000,3.0000,64.0000,75.0000,85.0000,97.0000,116.0000,266.0000,,,,,,,,,,,,,,,105,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,17.1868,3.0000,773.0000,39.9431,3.0000,3.0000,3.0000,18.0000,18.0000,18.0000,18.0000,18.0000,18.0000,,,,,,,,,,,,,,,106,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,73.2938,3.0000,569.0000,53.0029,3.0000,3.0000,3.0000,69.0000,77.0000,84.0000,93.0000,142.0000,261.0000,,,,,,,,,,,,,,,107,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,21.4231,3.0000,553.0000,28.9860,3.0000,3.0000,3.0000,24.0000,24.0000,24.0000,24.0000,24.0000,24.0000,,,,,,,,,,,,,,,108,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,21.8699,3.0000,717.0000,37.2600,3.0000,3.0000,3.0000,24.0000,24.0000,24.0000,24.0000,24.0000,24.0000,,,,,,,,,,,,,,,109,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,4.2532,3.0000,463.0000,23.9780,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,11,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,78.9023,3.0000,769.0000,51.6520,3.0000,3.0000,3.0000,78.0000,97.0000,97.0000,97.0000,97.0000,100.0000,,,,,,,,,,,,,,,110,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,71.7361,3.0000,413.0000,46.2191,3.0000,3.0000,3.0000,67.0000,79.0000,86.0000,92.0000,110.0000,268.0000,,,,,,,,,,,,,,,111,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,65.2013,3.0000,732.0000,51.0013,3.0000,3.0000,3.0000,65.0000,65.0000,78.0000,89.0000,107.0000,250.0000,,,,,,,,,,,,,,,112,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,70.8261,3.0000,452.0000,47.1617,3.0000,3.0000,3.0000,65.0000,77.0000,85.0000,93.0000,125.0000,248.0000,,,,,,,,,,,,,,,113,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,66.8131,3.0000,360.0000,42.0459,3.0000,3.0000,3.0000,62.0000,72.0000,82.0000,93.0000,108.0000,259.0000,,,,,,,,,,,,,,,114,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,75.5929,3.0000,823.0000,72.4893,3.0000,3.0000,3.0000,67.0000,78.0000,90.0000,112.0000,112.0000,238.0000,,,,,,,,,,,,,,,115,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,71.3987,3.0000,802.0000,57.6075,3.0000,3.0000,3.0000,65.0000,74.0000,83.0000,98.0000,124.0000,237.8900,,,,,,,,,,,,,,,116,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,72.8102,3.0000,542.0000,46.4595,3.0000,3.0000,3.0000,69.0000,78.0000,87.0000,97.0000,112.0000,252.0000,,,,,,,,,,,,,,,117,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,34.6396,3.0000,671.0000,36.3048,3.0000,3.0000,3.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,,,,,,,,,,,,,,,118,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,97.4134,3.0000,559.0000,40.3446,3.0000,3.0000,69.0000,107.0000,107.0000,107.0000,107.0000,107.0000,120.0000,,,,,,,,,,,,,,,119,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.4353,3.0000,216.0000,8.5258,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,12,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,57.5683,3.0000,379.0000,25.6218,3.0000,17.0000,17.0000,66.0000,66.0000,66.0000,66.0000,66.0000,66.0000,,,,,,,,,,,,,,,120,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,84.7929,3.0000,412.0000,34.0276,3.0000,63.0000,67.0000,72.0000,80.0000,86.0000,102.0000,125.0000,270.8900,,,,,,,,,,,,,,,121,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,91.0427,3.0000,766.0000,53.3460,3.0000,63.0000,68.0000,74.0000,80.0000,91.0000,117.0000,149.0000,296.0000,,,,,,,,,,,,,,,122,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,94.5233,3.0000,519.0000,59.1611,3.0000,62.0000,66.0000,72.0000,81.0000,91.0000,112.0000,222.4500,453.0000,,,,,,,,,,,,,,,123,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
