# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.12.0
# schema_version: 1.0
# benchmark_id: 825a6666e206
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,target_component,target_endpoint,target_namespace,dp_rank,dynamo_component,dynamo_namespace,model,policy_class,router_worker_id,state,worker_id,worker_type,phase,stage,worker,Description
n3u-mnnvl-88-frontend:8000,gauge,dynamo_frontend_disconnected_clients,,0.0145,0.0000,5.0000,0.2692,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,Number of disconnected clients
n3u-mnnvl-88-frontend:8000,gauge,dynamo_request_plane_inflight_requests,requests,89.7631,0.0000,161.0000,21.5475,8.0000,57.0000,63.0000,78.0000,91.0000,104.0000,114.0000,121.0000,136.0000,,,,,,,,,,,,,,,,Currently in-flight requests at AddressedPushRouter
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_alive_tasks,,795.6932,102.0000,1103.0000,111.1409,375.0000,596.0000,630.0000,761.0000,821.0000,862.0000,906.0000,933.0000,978.0000,,,,,,,,,,,,,,,,Number of alive tasks in the runtime
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_blocking_idle_threads,,6.0799,0.0000,7.0000,1.2320,0.0000,4.0000,5.0000,6.0000,6.0000,7.0000,7.0000,7.0000,7.0000,,,,,,,,,,,,,,,,Number of idle blocking threads
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_blocking_queue_depth,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,Number of tasks in the blocking thread pool queue
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_blocking_threads,,6.5368,0.0000,7.0000,1.0724,0.0000,5.0000,5.0000,6.0000,7.0000,7.0000,7.0000,7.0000,7.0000,,,,,,,,,,,,,,,,Number of blocking threads
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_global_queue_depth,,0.0005,0.0000,1.0000,0.0233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,Number of tasks in the runtime global queue
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,78.8433,42.0000,673.0000,47.7233,54.0000,60.0000,62.0000,62.0000,66.0000,76.0000,96.0000,136.0000,264.7800,,,,,,,,,,,,,,,0,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,1,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,10,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
