# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.12.0
# schema_version: 1.0
# benchmark_id: 9e625ba888e2
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,target_component,target_endpoint,target_namespace,dp_rank,dynamo_component,dynamo_namespace,model,policy_class,router_worker_id,state,worker_id,worker_type,phase,stage,worker,Description
n3u-mnnvl-88-frontend:8000,gauge,dynamo_frontend_disconnected_clients,,0.0697,0.0000,24.0000,1.2919,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,Number of disconnected clients
n3u-mnnvl-88-frontend:8000,gauge,dynamo_request_plane_inflight_requests,requests,402.7443,0.0000,625.0000,89.6562,50.0000,274.0000,319.0000,363.0000,406.0000,446.0000,512.0000,542.4500,588.0000,,,,,,,,,,,,,,,,Currently in-flight requests at AddressedPushRouter
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_alive_tasks,,2389.0650,102.0000,3352.0000,431.0951,933.0000,1583.0000,1957.0000,2218.0000,2405.0000,2620.0000,2904.0000,3035.0000,3205.0000,,,,,,,,,,,,,,,,Number of alive tasks in the runtime
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_blocking_idle_threads,,6.6777,0.0000,9.0000,1.4875,0.0000,4.0000,5.0000,6.0000,7.0000,8.0000,8.0000,9.0000,9.0000,,,,,,,,,,,,,,,,Number of idle blocking threads
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_blocking_queue_depth,,0.0003,0.0000,1.0000,0.0165,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,Number of tasks in the blocking thread pool queue
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_blocking_threads,,7.5821,0.0000,9.0000,1.2239,0.0000,7.0000,7.0000,7.0000,8.0000,8.0000,9.0000,9.0000,9.0000,,,,,,,,,,,,,,,,Number of blocking threads
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_global_queue_depth,,0.0005,0.0000,1.0000,0.0233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,Number of tasks in the runtime global queue
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,114.0488,5.0000,358.0000,40.8200,61.0000,65.0000,70.0000,78.0000,112.0000,151.0000,151.0000,151.0000,277.7900,,,,,,,,,,,,,,,0,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,1,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,10,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
