# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.12.0
# schema_version: 1.0
# benchmark_id: 0999089e5f02
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,target_component,target_endpoint,target_namespace,dp_rank,dynamo_component,dynamo_namespace,model,policy_class,router_worker_id,state,worker_id,worker_type,phase,stage,worker,Description
n3u-mnnvl-88-frontend:8000,gauge,dynamo_frontend_disconnected_clients,,0.0058,0.0000,2.0000,0.1077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,Number of disconnected clients
n3u-mnnvl-88-frontend:8000,gauge,dynamo_request_plane_inflight_requests,requests,129.2873,0.0000,214.0000,29.4173,13.1000,92.0000,98.0000,109.0000,132.0000,150.0000,164.0000,172.0000,186.0000,,,,,,,,,,,,,,,,Currently in-flight requests at AddressedPushRouter
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_alive_tasks,,1003.5428,102.0000,1382.0000,149.3990,499.0000,822.0000,848.0000,896.0000,1002.0000,1118.0000,1184.0000,1226.0000,1293.8000,,,,,,,,,,,,,,,,Number of alive tasks in the runtime
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_blocking_idle_threads,,5.7030,0.0000,7.0000,1.2917,0.0000,4.0000,4.0000,5.0000,6.0000,7.0000,7.0000,7.0000,7.0000,,,,,,,,,,,,,,,,Number of idle blocking threads
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_blocking_queue_depth,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,Number of tasks in the blocking thread pool queue
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_blocking_threads,,6.3720,0.0000,7.0000,1.0792,0.0000,5.0000,5.0000,6.0000,7.0000,7.0000,7.0000,7.0000,7.0000,,,,,,,,,,,,,,,,Number of blocking threads
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_global_queue_depth,,0.0003,0.0000,1.0000,0.0165,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,Number of tasks in the runtime global queue
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,98.7104,27.0000,334.0000,21.3927,62.0000,62.0000,70.0000,100.0000,106.0000,106.0000,106.0000,106.0000,201.0000,,,,,,,,,,,,,,,0,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,1,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,10,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,100,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,101,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,102,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,103,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,104,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,105,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
