# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.12.0
# schema_version: 1.0
# benchmark_id: e4dd016622f8
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,target_component,target_endpoint,target_namespace,dp_rank,dynamo_component,dynamo_namespace,model,policy_class,router_worker_id,state,worker_id,worker_type,phase,stage,worker,Description
n3u-mnnvl-88-frontend:8000,gauge,dynamo_frontend_disconnected_clients,,0.0407,0.0000,14.0000,0.7536,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,Number of disconnected clients
n3u-mnnvl-88-frontend:8000,gauge,dynamo_request_plane_inflight_requests,requests,162.1706,0.0000,312.0000,47.7085,20.0000,102.0000,111.0000,129.0000,157.0000,193.0000,229.0000,244.0000,280.0000,,,,,,,,,,,,,,,,Currently in-flight requests at AddressedPushRouter
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_alive_tasks,,1154.5886,102.0000,1793.0000,207.5381,533.0000,891.0000,932.0000,1005.0000,1155.0000,1285.2500,1405.0000,1508.0000,1682.0000,,,,,,,,,,,,,,,,Number of alive tasks in the runtime
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_blocking_idle_threads,,5.8958,0.0000,7.0000,1.3229,0.0000,4.0000,4.0000,5.0000,6.0000,7.0000,7.0000,7.0000,7.0000,,,,,,,,,,,,,,,,Number of idle blocking threads
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_blocking_queue_depth,,0.0004,0.0000,1.0000,0.0191,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,Number of tasks in the blocking thread pool queue
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_blocking_threads,,6.5037,0.0000,7.0000,1.1595,0.0000,5.0000,5.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,,,,,,,,,,,,,,,,Number of blocking threads
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_global_queue_depth,,0.0011,0.0000,1.0000,0.0330,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,Number of tasks in the runtime global queue
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,81.4590,44.0000,1000.0000,59.7954,50.0000,55.0000,58.0000,65.0000,69.0000,81.0000,95.0000,142.0000,243.0000,,,,,,,,,,,,,,,0,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,1,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,10,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,100,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,101,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,102,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,103,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,104,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,105,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,106,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,107,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,108,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-88-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,109,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
