id,policy,clients,summary,server_metrics,gcs_summary,gcs_console,kind,gpus,total_tok_s_gpu,output_tok_s_gpu,requests_s,input_tokens_p50,output_tokens_p50,ttft_p95_s,itl_mean_ms,itl_p90_ms,cache_pct,successful_requests,request_errors,e2e_normalized_interactivity_p90_tps,e2e_normalized_latency_p90_ms_per_token,e2e_p95_s,interactivity_valid_requests,interactivity_excluded_successful_requests,ttft_slo_pass,interactivity_slo_pass,combined_slo_pass,request_metrics_file,request_metrics_source_sha256,profiling_records,request_error_rate,client_inflight_mean,client_inflight_peak,profile_envelope_s,warmup_requests,warmup_wall_s,warmup_latency_p50_s,warmup_errors,ttft_quarter1_p50_s,ttft_quarter4_p50_s,queue_growing,standing_queue,post_knee,knee_check,source_trace_count,profiled_sessions_per_lane,turn_index_p50,subagent_request_share,ttft_p50_s,ttft_p99_s,itl_p50_ms,output_tokens_p90,output_tokens_p99,submission_valid,decode_only_inverse_itl_p90_tps,frontend_cached_input_pct,eligible_combined_slo
n3u-mnnvl-88-agentx-kv-c192,kv,192,hardware/n3u-mnnvl-88-agentx-kv-c192.json,hardware/n3u-mnnvl-88-agentx-kv-c192-server.csv,gs://alisachen-models/perf/1789672351_alisachen-n3u-mnnvl-88-agentx-kv-c192/Nemotron-3-Ultra-550B-A55B-NVFP4_trace_c192_20260917_191247/profile_export_aiperf.json,https://console.cloud.google.com/storage/browser/alisachen-models/perf/1789672351_alisachen-n3u-mnnvl-88-agentx-kv-c192,hardware,64,5142.076654264852,50.74613969443079,3.4724779009343503,80113.5,400.0,2.397367030749999,8.93157216219539,10.008202142857144,92.6545901048762,12744,0,67.3601422550262,14.845574348907839,31.748566990599883,12744,0,True,True,True,request-metrics/n3u-mnnvl-88-agentx-kv-c192.csv.gz,c0feabec471dd75c97086abefce7f8fdd0259004dbd322c9963690c2c26f00d5,12744,0.0,31.07293655020107,60,3656.540675214,185,1699.244055698,7.783594181,0,0.35795198699999997,0.39259882,False,False,False,AT/PRE-KNEE,268,1.3958333333333333,12.0,0.6049905838041432,0.382240136,7.181976015629999,8.883382282608695,2037.0,8858.279999999999,True,99.9180457914412,92.58504844145034,True
n3u-mnnvl-88-agentx-kv-c384,kv,384,hardware/n3u-mnnvl-88-agentx-kv-c384.json,hardware/n3u-mnnvl-88-agentx-kv-c384-server.csv,gs://alisachen-models/perf/1789678827_alisachen-n3u-mnnvl-88-agentx-kv-c384/Nemotron-3-Ultra-550B-A55B-NVFP4_trace_c384_20260917_210046/profile_export_aiperf.json,https://console.cloud.google.com/storage/browser/alisachen-models/perf/1789678827_alisachen-n3u-mnnvl-88-agentx-kv-c384,hardware,64,9992.74601127299,100.04387342811089,6.740051911789759,81187.0,408.0,4.82529731975,11.682680508360754,12.866524061375662,90.61152123548916,24736,0,44.75082665968203,22.345955921769452,43.1918835215,24736,0,True,True,True,request-metrics/n3u-mnnvl-88-agentx-kv-c384.csv.gz,f680309c373a1a17177893ee9ae67e853e466a6dab495b62446a9923c1de32fb,24736,0.0,82.42881647372818,123,3648.394419037,349,2694.76924273,8.586507896999999,0,0.6351320579999999,0.547135639,False,False,False,AT/PRE-KNEE,357,1.40625,12.0,0.5960543337645536,0.5576530605,10.811621478650027,11.742653264957264,2154.0,8157.0,True,77.72106866079898,90.57407708295972,True
n3u-mnnvl-88-agentx-kv-c480,kv,480,hardware/n3u-mnnvl-88-agentx-kv-c480.json,hardware/n3u-mnnvl-88-agentx-kv-c480-server.csv,gs://alisachen-models/perf/1789740024_alisachen-n3u-mnnvl-88-agentx-kv-c480/Nemotron-3-Ultra-550B-A55B-NVFP4_trace_c480_20260918_140040/profile_export_aiperf.json,https://console.cloud.google.com/storage/browser/alisachen-models/perf/1789740024_alisachen-n3u-mnnvl-88-agentx-kv-c480,hardware,64,12203.63062954909,123.36168832207414,8.230240219102043,82104.0,409.0,7.120770415399999,13.388249484290482,15.415147191709393,89.10129675670103,30205,0,33.522474276367554,29.830733607422683,49.92903017459998,30205,0,True,True,True,request-metrics/n3u-mnnvl-88-agentx-kv-c480.csv.gz,ddab38340da30b4a416fcfa624d0d2711cd4d19b3e08f508822b0d40a3c07ee3,30205,0.0,119.28255449938281,182,3659.804751072,445,3334.373263804,8.319207072,0,0.9273314819999999,0.73684575,False,False,False,AT/PRE-KNEE,377,1.3520833333333333,12.0,0.6119847707333222,0.8036387429999999,14.765683581239996,13.195387332653059,2112.0,9001.07999999998,True,64.87125861099932,89.07713046931788,True
n3u-mnnvl-88-agentx-kv-c672,kv,672,hardware/n3u-mnnvl-88-agentx-kv-c672.json,hardware/n3u-mnnvl-88-agentx-kv-c672-server.csv,gs://alisachen-models/perf/1789686412_alisachen-n3u-mnnvl-88-agentx-kv-c672/Nemotron-3-Ultra-550B-A55B-NVFP4_trace_c672_20260917_230706/profile_export_aiperf.json,https://console.cloud.google.com/storage/browser/alisachen-models/perf/1789686412_alisachen-n3u-mnnvl-88-agentx-kv-c672,hardware,64,15184.484384891919,149.16756797357755,10.22015776038429,82347.0,397.0,17.041181863,15.691531698550168,17.086006314865955,85.73978532396359,37508,0,13.740598566793285,72.77703333948538,62.08471940535001,37508,0,False,False,False,request-metrics/n3u-mnnvl-88-agentx-kv-c672.csv.gz,07dadfc8f23b16eb8dc4b755d844afe8af948dfd940169ab6568274bbb7e3932,37508,0.0,207.12674597545572,273,3659.921064169,618,4258.726082951,9.08699991,0,4.934918974,4.172369537,False,False,False,AT/PRE-KNEE,393,1.306547619047619,12.0,0.6094966407166471,3.977255547,24.910741285740006,15.99363515603799,2077.0,8392.0,True,58.527427742428834,85.69326353891196,False
n3u-mnnvl-88-agentx-kv-c768,kv,768,hardware/n3u-mnnvl-88-agentx-kv-c768.json,hardware/n3u-mnnvl-88-agentx-kv-c768-server.csv,gs://alisachen-models/perf/1789695978_alisachen-n3u-mnnvl-88-agentx-kv-c768/Nemotron-3-Ultra-550B-A55B-NVFP4_trace_c768_20260918_014635/profile_export_aiperf.json,https://console.cloud.google.com/storage/browser/alisachen-models/perf/1789695978_alisachen-n3u-mnnvl-88-agentx-kv-c768,hardware,64,15542.675726577172,152.19916938348837,10.407075707381676,83353.5,400.0,27.135735579299997,15.954659683767508,17.551542457075143,85.1771308017631,38194,0,7.410771667330233,134.9387141973914,70.5388972005999,38194,0,False,False,False,request-metrics/n3u-mnnvl-88-agentx-kv-c768.csv.gz,a7fa10cf35fae26bb331f8aa4ccf7d7afd674e35301cf6d7cf4e51c2396c99d1,38194,0.0,276.80588690820116,392,3658.550980034,702,4718.061496547,10.036036943,0,7.156193860999999,9.642878908999998,False,False,False,AT/PRE-KNEE,393,1.265625,12.0,0.5894643137665602,10.080816214499999,35.34655284713,16.189170795454544,2130.0,8245.419999999998,True,56.97504948329446,85.09294513924695,False
n3u-mnnvl-88-agentx-kv-c1152,kv,1152,hardware/n3u-mnnvl-88-agentx-kv-c1152.json,hardware/n3u-mnnvl-88-agentx-kv-c1152-server.csv,gs://alisachen-models/perf/1789706033_alisachen-n3u-mnnvl-88-agentx-kv-c1152/Nemotron-3-Ultra-550B-A55B-NVFP4_trace_c1152_20260918_043409/profile_export_aiperf.json,https://console.cloud.google.com/storage/browser/alisachen-models/perf/1789706033_alisachen-n3u-mnnvl-88-agentx-kv-c1152,hardware,64,10696.688438071084,107.70577144391261,7.396719309105522,77572.5,404.0,164.322932577,12.991499142435446,16.33666695911408,77.23066365078544,27146,0,1.116072015868549,895.999528508723,182.21698842499998,27146,0,False,False,False,request-metrics/n3u-mnnvl-88-agentx-kv-c1152.csv.gz,90a694b2c259636271787355f59aac6d353ad6136011ed19df07fbbda28164b3,27146,0.0,699.6438705552608,886,3659.759887197,1059,6389.140621697,10.668833764999999,0,40.403051379,137.823880053,True,True,True,POST-KNEE,393,1.0138888888888888,10.0,0.5658660576143815,79.981978443,201.19276249689986,12.697167749322965,2093.0,7819.549999999985,True,61.21199645574638,77.0674962275494,False
n3u-mnnvl-88-agentx-rr-c72,rr,72,hardware/n3u-mnnvl-88-agentx-rr-c72.json,hardware/n3u-mnnvl-88-agentx-rr-c72-server.csv,gs://alisachen-models/perf/1789773750_alisachen-n3u-mnnvl-88-agentx-rr-c72/Nemotron-3-Ultra-550B-A55B-NVFP4_trace_c72_20260918_232248/profile_export_aiperf.json,https://console.cloud.google.com/storage/browser/alisachen-models/perf/1789773750_alisachen-n3u-mnnvl-88-agentx-rr-c72,hardware,64,1763.1615316616874,20.47053530284874,1.3612019556633073,63459.5,407.0,9.911451840549999,7.181039067605249,8.361763999999999,65.51746824133838,4982,0,37.399810360033015,26.7381034923279,30.98247435899999,4982,0,True,True,True,request-metrics/n3u-mnnvl-88-agentx-rr-c72.csv.gz,c1928779f100db177b9fed8ad89e86daed3a8b58869f5441392fa058a9e9493b,4982,0.0,12.57142723025374,32,3634.872651014,68,814.758425269,5.7058609350000005,0,1.196381304,0.45182201,False,False,False,AT/PRE-KNEE,109,1.5138888888888888,9.0,0.5869128863910076,0.793471542,16.232576958569993,7.0369468014184395,2152.4000000000033,7888.05999999997,True,119.59199039819829,65.48486040442864,True
n3u-mnnvl-88-agentx-rr-c96,rr,96,hardware/n3u-mnnvl-88-agentx-rr-c96.json,hardware/n3u-mnnvl-88-agentx-rr-c96-server.csv,gs://alisachen-models/perf/1789734386_alisachen-n3u-mnnvl-88-agentx-rr-c96/Nemotron-3-Ultra-550B-A55B-NVFP4_trace_c96_20260918_122643/profile_export_aiperf.json,https://console.cloud.google.com/storage/browser/alisachen-models/perf/1789734386_alisachen-n3u-mnnvl-88-agentx-rr-c96,hardware,64,2671.45091031219,29.62068525969721,1.9801074417910332,70482.0,432.0,13.027290900699994,7.792153672038681,9.263489942532125,67.13721356188425,7267,0,28.09352697305164,35.59538825293233,34.1963629606,7267,0,False,True,False,request-metrics/n3u-mnnvl-88-agentx-rr-c96.csv.gz,96919c6f14bb640cbbe2ff91ab87ba86232c5309cf464d018b27c081ebd5654e,7267,0.0,20.873974458469927,44,3631.182345063,91,971.793031721,5.96492415,0,1.4395248319999998,0.993965338,False,False,False,AT/PRE-KNEE,145,1.5104166666666667,10.0,0.6339617448740883,1.083791891,19.823253768040008,7.759171925082202,2101.800000000001,7563.760000000002,True,107.95067584719106,67.06540445857053,False
n3u-mnnvl-88-agentx-rr-c144,rr,144,hardware/n3u-mnnvl-88-agentx-rr-c144.json,hardware/n3u-mnnvl-88-agentx-rr-c144-server.csv,gs://alisachen-models/perf/1789728380_alisachen-n3u-mnnvl-88-agentx-rr-c144/Nemotron-3-Ultra-550B-A55B-NVFP4_trace_c144_20260918_104649/profile_export_aiperf.json,https://console.cloud.google.com/storage/browser/alisachen-models/perf/1789728380_alisachen-n3u-mnnvl-88-agentx-rr-c144,hardware,64,3587.67647139278,40.77802801959855,2.6730226313380996,69262.5,416.0,21.633107364849998,8.710176842127556,10.287485767057738,63.008037910670986,9810,0,13.98900245580139,71.48472545912587,44.14704385914998,9810,0,False,False,False,request-metrics/n3u-mnnvl-88-agentx-rr-c144.csv.gz,75b7549c594c59623fe268acd97219b12a912701354330e279885000b8895070,9810,0.0,39.07051612574329,84,3639.164206542,141,1304.081951667,5.929334635999999,0,5.917262952,0.998730094,False,False,False,AT/PRE-KNEE,198,1.375,9.0,0.6289500509683996,2.549523756,34.704752226059995,8.531832249999999,2069.300000000001,9371.23999999999,True,97.20548077958644,62.97716126801846,False
n3u-mnnvl-88-agentx-rr-c192,rr,192,hardware/n3u-mnnvl-88-agentx-rr-c192.json,hardware/n3u-mnnvl-88-agentx-rr-c192-server.csv,gs://alisachen-models/perf/1789721971_alisachen-n3u-mnnvl-88-agentx-rr-c192/Nemotron-3-Ultra-550B-A55B-NVFP4_trace_c192_20260918_085946/profile_export_aiperf.json,https://console.cloud.google.com/storage/browser/alisachen-models/perf/1789721971_alisachen-n3u-mnnvl-88-agentx-rr-c192,hardware,64,4419.428256313598,44.47667167082624,3.055736992819437,76944.0,395.0,31.453131980550005,9.044867302574085,10.518598094256259,61.061638862524056,11184,0,8.378253358017355,119.35661972349828,50.686528218750006,11184,0,False,False,False,request-metrics/n3u-mnnvl-88-agentx-rr-c192.csv.gz,e72c6675b689f0c86765b99d83a86ebdf170054946fa7751484237904cb91a20,11184,0.0,55.66763724280781,99,3659.718406869,185,1705.918149275,7.906724682999999,0,11.187426396,4.117802338,False,False,False,AT/PRE-KNEE,252,1.3125,12.0,0.6065808297567954,6.7500858625,48.627722475800034,8.939301993243243,2047.7000000000007,8655.960000000006,True,95.06970330447894,61.05948829163604,False
