# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.12.0
# schema_version: 1.0
# benchmark_id: 1c5139a6c6ea
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,target_component,target_endpoint,target_namespace,dp_rank,dynamo_component,dynamo_namespace,model,policy_class,router_worker_id,state,worker_id,worker_type,phase,stage,worker,Description
n3u-mnnvl-126-frontend:8000,gauge,dynamo_frontend_disconnected_clients,,0.0087,0.0000,3.0000,0.1615,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,Number of disconnected clients
n3u-mnnvl-126-frontend:8000,gauge,dynamo_request_plane_inflight_requests,requests,35.0770,0.0000,71.0000,11.9615,4.0000,17.0000,20.0000,25.0000,36.0000,44.0000,50.0000,54.0000,59.0000,,,,,,,,,,,,,,,,Currently in-flight requests at AddressedPushRouter
n3u-mnnvl-126-frontend:8000,gauge,dynamo_tokio_alive_tasks,,420.0290,110.0000,571.0000,65.1745,247.0000,316.0000,330.0000,361.0000,436.0000,471.0000,493.0000,508.0000,533.8800,,,,,,,,,,,,,,,,Number of alive tasks in the runtime
n3u-mnnvl-126-frontend:8000,gauge,dynamo_tokio_blocking_idle_threads,,4.1330,0.0000,5.0000,0.8798,0.0000,3.0000,3.0000,4.0000,4.0000,5.0000,5.0000,5.0000,5.0000,,,,,,,,,,,,,,,,Number of idle blocking threads
n3u-mnnvl-126-frontend:8000,gauge,dynamo_tokio_blocking_queue_depth,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,Number of tasks in the blocking thread pool queue
n3u-mnnvl-126-frontend:8000,gauge,dynamo_tokio_blocking_threads,,4.3331,0.0000,5.0000,0.7607,0.0000,4.0000,4.0000,4.0000,4.0000,5.0000,5.0000,5.0000,5.0000,,,,,,,,,,,,,,,,Number of blocking threads
n3u-mnnvl-126-frontend:8000,gauge,dynamo_tokio_global_queue_depth,,0.0011,0.0000,1.0000,0.0330,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,Number of tasks in the runtime global queue
n3u-mnnvl-126-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,79.0778,38.0000,439.0000,43.0100,43.0000,48.0000,51.0000,58.0000,68.0000,78.0000,121.0000,202.0000,238.0000,,,,,,,,,,,,,,,0,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-126-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,1,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-126-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,10,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-126-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,100,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-126-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,101,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-126-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,102,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-126-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,103,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
n3u-mnnvl-126-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,,,,,104,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
