id,arm,policy,clients,gpus,recipe_point,sim_total_tokens_s_gpu,sim_output_tokens_s_gpu,sim_requests_s,sim_goodput_requests_s,sim_ttft_p95_s,sim_ttft_p50_s,sim_ttft_p99_s,sim_itl_mean_ms,sim_itl_p50_ms,sim_cached_input_percent,sim_mean_input_tokens,sim_mean_output_tokens,sim_successful_requests,sim_request_errors,sim_goodput_percent,real_total_tokens_s_gpu,real_output_tokens_s_gpu,real_requests_s,real_goodput_requests_s,real_ttft_p95_s,real_ttft_p50_s,real_ttft_p99_s,real_itl_mean_ms,real_itl_p50_ms,real_cached_input_percent,real_mean_input_tokens,real_mean_output_tokens,real_successful_requests,real_request_errors,real_goodput_percent,total_throughput_error_pct
agg6-rr-c48,agg6,rr,48,24,,3135.202868852459,29.958492714025496,0.7387978142076502,0.0,5.8469017462999995,0.50680203,11.045544831809998,13.011948964480258,12.36,75.42469008797495,100874.50665680473,973.2078402366864,2704,0,0.0,3250.084808233436,31.324331101422217,0.7581965129781321,0.6101091219748357,8.271755809899995,0.7897455739999999,15.322043127319999,9.312629222436396,7.507802078313253,74.11159579333085,101886.84612612613,991.5423423423423,2775,0,80.46846846846847,-3.5347366656385937
agg6-rr-c96,agg6,rr,96,24,,6111.039123524068,66.3248524069028,1.743869209809264,0.0,7.531615637449984,0.5262944159999999,12.059357458760013,20.377739062674916,19.279999999999998,73.93069954059986,83190.38015625,912.79578125,6400,0,0.0,6137.320473879631,67.11020337655773,1.7474110638031493,0.4504086213108694,12.557413355399982,0.811374185,19.769793902680007,19.466066356730504,12.117948179516686,69.7303118854385,83371.93778262903,921.7321066583502,6413,0,25.775767971308277,-0.42822190021551965
agg6-rr-c192,agg6,rr,192,24,,8774.523762488645,87.39826294277928,2.4234332425068117,0.0,13.474617118500007,1.2227322084999999,31.768463564999966,34.554045664132424,34.85,70.52659150954663,86031.25860130425,865.531706768608,8894,4,0.0,6802.289469097507,71.37809353845007,1.9634866387349532,0.07356944108498992,60.081522396249994,10.8705291825,90.05882953444996,48.19882407837417,30.531782645776566,56.171456051053056,82272.96780460727,872.4654454621149,7206,3,3.7468776019983343,28.993683705330508
agg6-rr-c384,agg6,rr,384,24,,11078.324591280652,98.02220708446866,2.943869209809264,0.0,53.73990435360002,4.3149493544999995,92.7878134615498,76.16480277780025,78.1,67.00572687839495,89517.31155127731,799.129581636431,10804,21,0.0,5076.007624767205,49.64641718662606,1.3607605858129257,0.03296997014084181,494.981526287,78.266445253,600.1368975332998,71.06622680930381,57.038205,30.122955847243254,88650.91349619544,875.6235482579095,4994,14,2.422907488986784,118.24877758706526
disagg12-6-rr-c48,12:6,rr,48,72,False,1105.7556352459014,10.671246964177291,0.7732240437158469,0.6816939890710382,7.787208122,1.1386802035,11.5040812181,6.715441696118976,6.77,60.62998349852562,101970.54346289752,993.6703180212014,2830,0,88.16254416961131,,,,,,,,,,,,,,,,
disagg12-6-rr-c96,12:6,rr,96,72,True,2429.094577261688,27.044911202185787,2.011748633879781,1.7579234972677593,8.038165191299997,0.886903553,11.68720781512,7.55668478258072,7.569999999999999,61.12771833850255,85968.78011680022,967.9308705690615,7363,0,87.38286024718187,,,,,,,,,,,,,,,,
disagg12-6-rr-c192,12:6,rr,192,72,True,4313.797714199212,42.98138813200121,3.296730245231607,2.0386920980926426,14.051899310000005,2.0012182739999997,23.00817954948008,9.141263227565977,9.16999999713079,59.26133521228191,93273.86610463675,938.705843458137,12099,0,61.83982147284899,,,,,,,,,,,,,,,,
disagg12-6-rr-c384,12:6,rr,384,72,True,6623.570591129275,66.65389418710262,5.212261580381471,0.07465940054495912,48.295608463399994,9.464219492,66.5336396084,16.64543144027367,15.969999999999999,56.62183331319904,90574.50300590726,920.7289978566574,19129,3,1.4323801557844111,,,,,,,,,,,,,,,,
disagg12-6-rr-c480,12:6,rr,480,72,False,6656.335668331819,67.33157356948227,5.322070844686648,0.01525885558583106,77.46849666885001,17.4192792395,102.90995435364988,23.005690511531345,21.169999999999998,53.9605601526367,89139.79326233873,910.8998054474708,19532,4,0.2867089903747696,,,,,,,,,,,,,,,,
disagg12-6-rr-c768,12:6,rr,768,72,False,6067.660778080532,57.709642749016034,4.796730245231607,0.002724795640326975,154.87414833419993,57.81430692199999,179.64080318755,40.571329772120244,39.17,47.383945708048266,90210.7184730743,866.2347193819586,17604,8,0.05680527152919791,,,,,,,,,,,,,,,,
