model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,encoder_latency,encoder_memory,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,cp,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
/tmp/n3u-fp4,96000,900,0,128,0.679,32,128,23325.971,209.287,211474.568,0,0.0,0.679,0.17,610.594,152.649,4.778,4,1,1,4,2,2,1,tp1pp1dp4etp2ep2,fp8_static,fp8,fp8,nvfp4,half,266.093,0.833,1.0,31.0,4127.0,4096,31.0,sglang,0.5.14,gb300,0.0,152.649
/tmp/n3u-fp4,96000,900,0,128,0.676,32,128,24231.331,189.307,194418.566,0,0.0,0.676,0.169,607.858,151.965,5.282,4,1,1,4,2,2,1,tp1pp1dp4etp2ep2,fp8_static,fp8,fp8,nvfp4,half,265.86,1.111,1.0,31.0,3103.0,3072,31.0,sglang,0.5.14,gb300,0.0,151.965
/tmp/n3u-fp4,96000,900,0,112,0.675,28,112,24139.306,184.412,189925.503,0,0.0,0.675,0.169,606.616,151.654,5.423,4,1,1,4,2,2,1,tp1pp1dp4etp2ep2,fp8_static,fp8,fp8,nvfp4,half,245.898,0.972,1.0,27.0,3099.0,3072,27.0,sglang,0.5.14,gb300,0.0,151.654
/tmp/n3u-fp4,96000,900,0,96,0.666,24,96,23683.956,160.103,167616.951,0,0.0,0.666,0.166,598.635,149.659,6.246,4,1,1,4,2,2,1,tp1pp1dp4etp2ep2,fp8_static,fp8,fp8,nvfp4,half,225.936,0.833,1.0,23.0,3095.0,3072,23.0,sglang,0.5.14,gb300,0.0,149.659
/tmp/n3u-fp4,96000,900,0,80,0.651,20,80,23331.032,136.361,145919.798,0,0.0,0.651,0.163,585.368,146.342,7.333,4,1,1,4,2,2,1,tp1pp1dp4etp2ep2,fp8_static,fp8,fp8,nvfp4,half,205.975,0.694,1.0,19.0,3091.0,3072,19.0,sglang,0.5.14,gb300,0.0,146.342
/tmp/n3u-fp4,96000,900,0,80,0.637,20,80,25188.587,133.982,145638.268,0,0.0,0.637,0.159,572.27,143.067,7.464,4,1,1,4,2,2,1,tp1pp1dp4etp2ep2,fp8_static,fp8,fp8,nvfp4,half,205.741,1.042,1.0,19.0,2067.0,2048,19.0,sglang,0.5.14,gb300,0.0,143.067
/tmp/n3u-fp4,96000,900,0,64,0.631,16,64,22978.107,112.487,124104.337,0,0.0,0.631,0.158,567.194,141.798,8.89,4,1,1,4,2,2,1,tp1pp1dp4etp2ep2,fp8_static,fp8,fp8,nvfp4,half,186.013,0.556,1.0,15.0,3087.0,3072,15.0,sglang,0.5.14,gb300,0.0,141.798
/tmp/n3u-fp4,96000,900,0,60,0.624,15,60,22889.876,106.603,118726.284,0,0.0,0.624,0.156,560.942,140.235,9.381,4,1,1,4,2,2,1,tp1pp1dp4etp2ep2,fp8_static,fp8,fp8,nvfp4,half,181.023,0.521,1.0,14.0,3086.0,3072,14.0,sglang,0.5.14,gb300,0.0,140.235
/tmp/n3u-fp4,96000,900,0,56,0.617,14,56,22801.645,100.648,113283.772,0,0.0,0.617,0.154,554.356,138.589,9.936,4,1,1,4,2,2,1,tp1pp1dp4etp2ep2,fp8_static,fp8,fp8,nvfp4,half,176.032,0.486,1.0,13.0,3085.0,3072,13.0,sglang,0.5.14,gb300,0.0,138.589
/tmp/n3u-fp4,96000,900,0,52,0.609,13,52,22688.826,94.668,107795.66,0,0.0,0.609,0.152,547.085,136.771,10.563,4,1,1,4,2,2,1,tp1pp1dp4etp2ep2,fp8_static,fp8,fp8,nvfp4,half,171.042,0.451,1.0,12.0,3084.0,3072,12.0,sglang,0.5.14,gb300,0.0,136.771
