model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,encoder_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)cp,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,(e)workers,(e)tp,(e)pp,(e)parallel,(e)memory,power_w,tokens/s/gpu_cluster
/tmp/n3u-fp4,96000,900,0,128,2.934,1,2,10,32,128,1,10081.705,44.644,50216.661,0.0,2.934,0.122,2640.492,110.021,22.399,0.357,3.189,24,1,1,2,1,2,1,tp1pp1dp2etp1ep2,fp8_static,fp8,fp8,nvfp4,half,199.809,sglang,0.5.14,gb300,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8_static,fp8,fp8,nvfp4,half,265.253,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,110.021
/tmp/n3u-fp4,96000,900,0,120,2.892,1,2,9,20,40,3,10081.705,42.001,47840.604,0.0,2.892,0.12,2602.53,108.439,23.809,0.357,1.059,24,1,1,2,1,2,1,tp1pp1dp2etp1ep2,fp8_static,fp8,fp8,nvfp4,half,199.809,sglang,0.5.14,gb300,1,1,2,2,1,tp1pp1dp2etp2ep1,fp8_static,fp8,fp8,nvfp4,half,272.871,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,108.43900000000001
/tmp/n3u-fp4,96000,900,0,104,2.708,1,1,10,52,104,1,5901.73,39.294,41227.036,0.0,2.708,0.113,2437.632,101.568,25.449,0.305,2.944,24,2,1,1,1,2,1,tp2pp1dp1etp1ep2,fp8_static,fp8,fp8,nvfp4,half,173.553,sglang,0.5.14,gb300,2,1,2,1,4,tp2pp1dp2etp1ep4,fp8_static,fp8,fp8,nvfp4,half,219.95,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,101.568
/tmp/n3u-fp4,96000,900,0,96,2.57,1,2,8,12,96,1,10081.705,24.41,32026.295,0.0,2.57,0.107,2313.36,96.39,40.966,0.357,4.375,24,1,1,2,1,2,1,tp1pp1dp2etp1ep2,fp8_static,fp8,fp8,nvfp4,half,199.809,sglang,0.5.14,gb300,1,1,8,2,4,tp1pp1dp8etp2ep4,fp8_static,fp8,fp8,nvfp4,half,131.699,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,96.39
/tmp/n3u-fp4,96000,900,0,40,2.196,1,1,8,10,40,1,5901.73,17.872,21968.658,0.0,2.196,0.092,1976.4,82.35,55.952,0.305,2.49,24,2,1,1,1,2,1,tp2pp1dp1etp1ep2,fp8_static,fp8,fp8,nvfp4,half,173.553,sglang,0.5.14,gb300,2,1,4,4,2,tp2pp1dp4etp4ep2,fp8_static,fp8,fp8,nvfp4,half,81.406,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,82.35
/tmp/n3u-fp4,96000,900,0,36,2.082,1,1,8,9,36,1,5901.73,17.696,21810.434,0.0,2.082,0.087,1873.764,78.074,56.51,0.305,2.263,24,2,1,1,1,2,1,tp2pp1dp1etp1ep2,fp8_static,fp8,fp8,nvfp4,half,173.553,sglang,0.5.14,gb300,2,1,4,1,8,tp2pp1dp4etp1ep8,fp8_static,fp8,fp8,nvfp4,half,78.911,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,78.074
/tmp/n3u-fp4,96000,900,0,32,1.941,1,1,8,8,32,1,5901.73,16.869,21066.961,0.0,1.941,0.081,1747.08,72.795,59.282,0.305,2.11,24,2,1,1,1,2,1,tp2pp1dp1etp1ep2,fp8_static,fp8,fp8,nvfp4,half,173.553,sglang,0.5.14,gb300,2,1,4,4,2,tp2pp1dp4etp4ep2,fp8_static,fp8,fp8,nvfp4,half,76.416,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,72.795
/tmp/n3u-fp4,96000,900,0,30,1.921,1,1,7,6,6,5,5901.73,14.888,19286.042,0.0,1.921,0.08,1729.35,72.056,67.167,0.305,0.448,24,2,1,1,1,2,1,tp2pp1dp1etp1ep2,fp8_static,fp8,fp8,nvfp4,half,173.553,sglang,0.5.14,gb300,2,1,1,2,1,tp2pp1dp1etp2ep1,fp8_static,fp8,fp8,nvfp4,half,172.676,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,72.056
/tmp/n3u-fp4,96000,900,0,25,1.854,1,1,7,5,5,5,5901.73,13.784,18293.546,0.0,1.854,0.077,1668.42,69.518,72.548,0.305,0.403,24,2,1,1,1,2,1,tp2pp1dp1etp1ep2,fp8_static,fp8,fp8,nvfp4,half,173.553,sglang,0.5.14,gb300,2,1,1,2,1,tp2pp1dp1etp2ep1,fp8_static,fp8,fp8,nvfp4,half,170.181,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,69.518
/tmp/n3u-fp4,96000,900,0,4,0.274,1,1,1,4,4,1,5901.73,12.672,17293.858,0.0,0.274,0.069,247.05,61.762,78.914,0.305,0.351,4,2,1,1,1,2,1,tp2pp1dp1etp1ep2,fp8_static,fp8,fp8,nvfp4,half,173.553,sglang,0.5.14,gb300,2,1,1,2,1,tp2pp1dp1etp2ep1,fp8_static,fp8,fp8,nvfp4,half,167.686,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,61.762
/tmp/n3u-fp4,96000,900,0,3,0.265,1,1,1,3,3,1,5901.73,11.606,16335.524,0.0,0.265,0.066,238.464,59.616,86.159,0.305,0.288,4,2,1,1,1,2,1,tp2pp1dp1etp1ep2,fp8_static,fp8,fp8,nvfp4,half,173.553,sglang,0.5.14,gb300,2,1,1,2,1,tp2pp1dp1etp2ep1,fp8_static,fp8,fp8,nvfp4,half,165.191,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,59.61600000000001
/tmp/n3u-fp4,96000,900,0,20,1.588,1,1,4,10,10,2,4081.478,10.965,13939.013,0.0,1.588,0.066,1428.84,59.535,91.197,0.441,1.014,24,4,1,1,2,2,1,tp4pp1dp1etp2ep2,fp8_static,fp8,fp8,nvfp4,half,95.739,sglang,0.5.14,gb300,4,1,1,4,1,tp4pp1dp1etp4ep1,fp8_static,fp8,fp8,nvfp4,half,107.369,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,59.535
/tmp/n3u-fp4,96000,900,0,16,1.501,1,1,4,8,8,2,4107.998,10.909,13915.189,0.0,1.501,0.063,1351.296,56.304,91.664,0.438,0.816,24,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_static,fp8,fp8,nvfp4,half,95.739,sglang,0.5.14,gb300,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8_static,fp8,fp8,nvfp4,half,102.379,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,56.304
/tmp/n3u-fp4,96000,900,0,14,1.45,1,1,4,7,7,2,4107.998,9.877,12987.421,0.0,1.45,0.06,1304.928,54.372,101.249,0.438,0.788,24,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_static,fp8,fp8,nvfp4,half,95.739,sglang,0.5.14,gb300,4,1,1,2,2,tp4pp1dp1etp2ep2,fp8_static,fp8,fp8,nvfp4,half,99.884,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,54.37199999999999
/tmp/n3u-fp4,96000,900,0,12,1.26,1,1,4,6,6,2,4107.998,9.75,12873.248,0.0,1.26,0.053,1134.36,47.265,102.564,0.438,0.685,24,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_static,fp8,fp8,nvfp4,half,95.739,sglang,0.5.14,gb300,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8_static,fp8,fp8,nvfp4,half,97.389,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,47.26500000000001
/tmp/n3u-fp4,96000,900,0,4,0.397,1,1,1,4,4,1,4081.478,8.502,11724.776,0.0,0.397,0.05,357.21,44.651,117.623,0.441,0.523,8,4,1,1,2,2,1,tp4pp1dp1etp2ep2,fp8_static,fp8,fp8,nvfp4,half,95.739,sglang,0.5.14,gb300,4,1,1,4,1,tp4pp1dp1etp4ep1,fp8_static,fp8,fp8,nvfp4,half,92.399,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,44.651
/tmp/n3u-fp4,96000,900,0,3,0.388,1,1,1,3,3,1,4107.998,7.9,11210.098,0.0,0.388,0.049,349.416,43.677,126.584,0.438,0.422,8,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_static,fp8,fp8,nvfp4,half,95.739,sglang,0.5.14,gb300,4,1,1,2,2,tp4pp1dp1etp2ep2,fp8_static,fp8,fp8,nvfp4,half,89.904,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,43.677
/tmp/n3u-fp4,96000,900,0,2,0.277,1,1,1,2,2,1,4107.998,7.399,10759.699,0.0,0.277,0.035,249.228,31.154,135.148,0.438,0.301,8,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_static,fp8,fp8,nvfp4,half,95.739,sglang,0.5.14,gb300,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8_static,fp8,fp8,nvfp4,half,87.408,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,31.154
