model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,encoder_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)cp,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,(e)workers,(e)tp,(e)pp,(e)parallel,(e)memory,power_w,tokens/s/gpu_cluster
/tmp/n3u-fp4,96000,900,92000,320,14.879,1,1,2,80,160,2,217.753,20.883,18991.57,0.0,14.879,0.62,13390.92,557.955,47.886,8.266,8.523,24,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_static,fp8,fp8,nvfp4,half,85.245,sglang,0.5.14,gb300,4,1,2,1,8,tp4pp1dp2etp1ep8,fp8_static,fp8,fp8,nvfp4,half,248.276,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,557.955
/tmp/n3u-fp4,96000,900,92000,272,14.142,1,1,2,68,136,2,217.753,19.684,17913.669,0.0,14.142,0.589,12728.016,530.334,50.804,8.266,7.686,24,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_static,fp8,fp8,nvfp4,half,85.245,sglang,0.5.14,gb300,4,1,2,1,8,tp4pp1dp2etp1ep8,fp8_static,fp8,fp8,nvfp4,half,218.335,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,530.334
/tmp/n3u-fp4,96000,900,92000,256,13.34,1,1,2,64,128,2,217.753,19.638,17872.315,0.0,13.34,0.556,12006.0,500.25,50.922,8.266,7.25,24,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_static,fp8,fp8,nvfp4,half,85.245,sglang,0.5.14,gb300,4,1,2,8,1,tp4pp1dp2etp8ep1,fp8_static,fp8,fp8,nvfp4,half,208.355,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,500.25
/tmp/n3u-fp4,96000,900,92000,240,13.029,1,1,2,60,120,2,217.753,18.851,17164.802,0.0,13.029,0.543,11726.136,488.589,53.047,8.266,7.081,24,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_static,fp8,fp8,nvfp4,half,85.245,sglang,0.5.14,gb300,4,1,2,2,4,tp4pp1dp2etp2ep4,fp8_static,fp8,fp8,nvfp4,half,198.374,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,488.589
/tmp/n3u-fp4,96000,900,92000,192,11.252,1,1,2,48,96,2,217.753,17.462,15916.091,0.0,11.252,0.469,10126.44,421.935,57.267,8.266,6.115,24,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_static,fp8,fp8,nvfp4,half,85.245,sglang,0.5.14,gb300,4,1,2,2,4,tp4pp1dp2etp2ep4,fp8_static,fp8,fp8,nvfp4,half,168.433,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,421.935
/tmp/n3u-fp4,96000,900,92000,160,9.717,1,1,1,80,80,2,166.711,16.607,15096.404,0.0,9.717,0.405,8745.57,364.399,60.214,10.797,5.358,24,8,1,1,1,8,1,tp8pp1dp1etp1ep8,fp8_static,fp8,fp8,nvfp4,half,47.577,sglang,0.5.14,gb300,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8_static,fp8,fp8,nvfp4,half,244.358,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,364.39900000000006
/tmp/n3u-fp4,96000,900,92000,144,9.257,1,1,1,72,72,2,166.711,15.92,14478.791,0.0,9.257,0.386,8331.336,347.139,62.815,10.797,5.031,24,8,1,1,1,8,1,tp8pp1dp1etp1ep8,fp8_static,fp8,fp8,nvfp4,half,47.577,sglang,0.5.14,gb300,8,1,1,4,2,tp8pp1dp1etp4ep2,fp8_static,fp8,fp8,nvfp4,half,224.397,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,347.13899999999995
/tmp/n3u-fp4,96000,900,92000,136,8.838,1,1,1,68,68,2,166.711,15.749,14325.062,0.0,8.838,0.368,7953.768,331.407,63.496,10.797,4.803,24,8,1,1,1,8,1,tp8pp1dp1etp1ep8,fp8_static,fp8,fp8,nvfp4,half,47.577,sglang,0.5.14,gb300,8,1,1,2,4,tp8pp1dp1etp2ep4,fp8_static,fp8,fp8,nvfp4,half,214.417,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,331.407
/tmp/n3u-fp4,96000,900,92000,120,8.236,1,1,1,60,60,2,166.711,14.909,13569.902,0.0,8.236,0.343,7412.256,308.844,67.072,10.797,4.476,24,8,1,1,1,8,1,tp8pp1dp1etp1ep8,fp8_static,fp8,fp8,nvfp4,half,47.577,sglang,0.5.14,gb300,8,1,1,4,2,tp8pp1dp1etp4ep2,fp8_static,fp8,fp8,nvfp4,half,194.456,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,308.844
/tmp/n3u-fp4,96000,900,92000,112,7.798,1,1,1,56,56,2,166.711,14.698,13380.213,0.0,7.798,0.325,7018.128,292.422,68.035,10.797,4.238,24,8,1,1,1,8,1,tp8pp1dp1etp1ep8,fp8_static,fp8,fp8,nvfp4,half,47.577,sglang,0.5.14,gb300,8,1,1,8,1,tp8pp1dp1etp8ep1,fp8_static,fp8,fp8,nvfp4,half,184.476,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,292.422
/tmp/n3u-fp4,96000,900,92000,110,7.439,1,1,1,22,22,5,217.753,14.52,13271.233,0.0,7.439,0.31,6695.46,278.978,68.87,8.266,1.685,24,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_static,fp8,fp8,nvfp4,half,85.245,sglang,0.5.14,gb300,4,1,1,2,2,tp4pp1dp1etp2ep2,fp8_static,fp8,fp8,nvfp4,half,137.31,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,278.978
/tmp/n3u-fp4,96000,900,92000,100,7.374,1,1,1,20,20,5,217.753,13.876,12692.277,0.0,7.374,0.307,6636.42,276.518,72.067,8.266,1.603,24,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_static,fp8,fp8,nvfp4,half,85.245,sglang,0.5.14,gb300,4,1,1,4,1,tp4pp1dp1etp4ep1,fp8_static,fp8,fp8,nvfp4,half,132.32,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,276.518
/tmp/n3u-fp4,96000,900,92000,96,7.106,1,1,1,48,48,2,166.711,13.824,12594.487,0.0,7.106,0.296,6395.472,266.478,72.338,10.797,3.862,24,8,1,1,1,8,1,tp8pp1dp1etp1ep8,fp8_static,fp8,fp8,nvfp4,half,47.577,sglang,0.5.14,gb300,8,1,1,2,4,tp8pp1dp1etp2ep4,fp8_static,fp8,fp8,nvfp4,half,164.515,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,266.478
