model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,encoder_latency,encoder_memory,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,cp,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
/tmp/n3u-fp4,96000,900,92000,160,6.344,80,160,826.899,27.398,25457.476,0,0.0,6.344,0.793,5703.383,712.923,36.499,8,4,1,2,4,2,1,tp4pp1dp2etp4ep2,fp8_static,fp8,fp8,nvfp4,half,270.083,0.044,2.0,78.0,192078.0,192000,78.0,sglang,0.5.14,gb300,0.0,712.923
/tmp/n3u-fp4,96000,900,92000,128,5.748,64,128,736.534,24.113,22414.552,0,0.0,5.748,0.718,5167.072,645.884,41.471,8,4,1,2,4,2,1,tp4pp1dp2etp4ep2,fp8_static,fp8,fp8,nvfp4,half,230.16,0.036,2.0,62.0,192062.0,192000,62.0,sglang,0.5.14,gb300,0.0,645.884
/tmp/n3u-fp4,96000,900,92000,112,5.356,56,112,691.738,22.601,21010.114,0,0.0,5.356,0.669,4814.912,601.864,44.246,8,4,1,2,4,2,1,tp4pp1dp2etp4ep2,fp8_static,fp8,fp8,nvfp4,half,210.198,0.031,2.0,54.0,192054.0,192000,54.0,sglang,0.5.14,gb300,0.0,601.864
/tmp/n3u-fp4,96000,900,92000,112,5.356,56,112,696.818,22.597,21011.201,0,0.0,5.356,0.669,4814.75,601.844,44.254,8,4,1,2,2,4,1,tp4pp1dp2etp2ep4,fp8_static,fp8,fp8,nvfp4,half,210.198,0.031,2.0,54.0,192054.0,192000,54.0,sglang,0.5.14,gb300,0.0,601.844
/tmp/n3u-fp4,96000,900,92000,96,4.976,48,96,651.931,20.795,19346.221,0,0.0,4.976,0.622,4473.113,559.139,48.09,8,4,1,2,2,4,1,tp4pp1dp2etp2ep4,fp8_static,fp8,fp8,nvfp4,half,190.237,0.027,2.0,46.0,192046.0,192000,46.0,sglang,0.5.14,gb300,0.0,559.139
/tmp/n3u-fp4,96000,900,92000,80,4.446,40,80,602.901,19.351,17999.591,0,0.0,4.446,0.556,3997.194,499.649,51.676,8,4,1,2,4,2,1,tp4pp1dp2etp4ep2,fp8_static,fp8,fp8,nvfp4,half,170.275,0.022,2.0,38.0,192038.0,192000,38.0,sglang,0.5.14,gb300,0.0,499.64900000000006
/tmp/n3u-fp4,96000,900,92000,64,3.815,32,64,558.885,17.996,16736.846,0,0.0,3.815,0.477,3429.933,428.742,55.569,8,4,1,2,4,2,1,tp4pp1dp2etp4ep2,fp8_static,fp8,fp8,nvfp4,half,150.313,0.018,2.0,30.0,192030.0,192000,30.0,sglang,0.5.14,gb300,0.0,428.742
/tmp/n3u-fp4,96000,900,92000,56,3.493,28,56,536.974,17.171,15973.725,0,0.0,3.493,0.437,3139.8,392.475,58.238,8,4,1,2,4,2,1,tp4pp1dp2etp4ep2,fp8_static,fp8,fp8,nvfp4,half,140.332,0.016,2.0,26.0,192026.0,192000,26.0,sglang,0.5.14,gb300,0.0,392.475
/tmp/n3u-fp4,96000,900,92000,24,1.623,24,24,491.18,15.812,14706.47,0,0.0,1.623,0.406,1459.306,364.826,63.242,4,4,1,1,2,2,1,tp4pp1dp1etp2ep2,fp8_static,fp8,fp8,nvfp4,half,164.101,0.013,2.0,22.0,192022.0,192000,22.0,sglang,0.5.14,gb300,0.0,364.826
/tmp/n3u-fp4,96000,900,92000,20,1.485,20,20,477.002,14.332,13361.486,0,0.0,1.485,0.371,1335.338,333.834,69.774,4,4,1,1,4,1,1,tp4pp1dp1etp4ep1,fp8_static,fp8,fp8,nvfp4,half,154.121,0.011,2.0,18.0,192018.0,192000,18.0,sglang,0.5.14,gb300,0.0,333.834
