model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,encoder_latency,encoder_memory,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,cp,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
/tmp/n3u,96000,900,0,96,0.63,24,96,25257.951,169.331,177486.131,0,0.0,0.63,0.079,565.997,70.75,5.906,8,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,277.499,0.833,1.0,23.0,3095.0,3072,23.0,sglang,0.5.14,gb300,0.0,70.75
/tmp/n3u,96000,900,0,80,0.617,20,80,24014.234,143.834,153321.351,0,0.0,0.617,0.077,554.568,69.321,6.952,8,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,257.609,0.595,1.0,19.0,3603.0,3584,19.0,sglang,0.5.14,gb300,0.0,69.321
/tmp/n3u,96000,900,0,80,0.601,20,80,26682.973,141.931,154278.68,0,0.0,0.601,0.075,540.22,67.527,7.046,8,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,257.394,1.042,1.0,19.0,2067.0,2048,19.0,sglang,0.5.14,gb300,0.0,67.527
/tmp/n3u,96000,900,0,80,0.598,20,80,27588.149,134.065,148112.542,0,0.0,0.598,0.075,537.421,67.178,7.459,8,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,268.364,0.027,1.0,19.0,80211.0,80192,19.0,sglang,0.5.14,gb300,0.0,67.178
/tmp/n3u,96000,900,0,64,0.592,16,64,23926.099,119.798,131624.777,0,0.0,0.592,0.074,532.131,66.516,8.347,8,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,237.648,0.476,1.0,15.0,3599.0,3584,15.0,sglang,0.5.14,gb300,0.0,66.516
/tmp/n3u,96000,900,0,60,0.592,15,60,27246.485,108.121,124447.238,0,0.0,0.592,0.074,531.861,66.483,9.249,8,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,232.37,1.042,1.0,14.0,1550.0,1536,14.0,sglang,0.5.14,gb300,0.0,66.483
/tmp/n3u,96000,900,0,56,0.589,14,56,27197.964,105.673,122198.255,0,0.0,0.589,0.074,529.309,66.164,9.463,8,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,227.38,0.972,1.0,13.0,1549.0,1536,13.0,sglang,0.5.14,gb300,0.0,66.164
/tmp/n3u,96000,900,0,52,0.578,13,52,27149.712,99.871,116933.638,0,0.0,0.578,0.072,519.957,64.995,10.013,8,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,222.389,0.903,1.0,12.0,1548.0,1536,12.0,sglang,0.5.14,gb300,0.0,64.995
/tmp/n3u,96000,900,0,48,0.567,12,48,27101.169,93.96,111571.527,0,0.0,0.567,0.071,510.04,63.755,10.643,8,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,217.399,0.833,1.0,11.0,1547.0,1536,11.0,sglang,0.5.14,gb300,0.0,63.755
/tmp/n3u,96000,900,0,56,0.564,7,56,29315.427,90.764,110912.259,0,0.0,0.564,0.07,506.665,63.333,11.018,8,1,1,8,4,2,1,tp1pp1dp8etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,270.039,0.013,1.0,6.0,56198.0,56192,6.0,sglang,0.5.14,gb300,0.0,63.333
