model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,encoder_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)cp,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,(e)workers,(e)tp,(e)pp,(e)parallel,(e)memory,power_w,tokens/s/gpu_cluster
/tmp/n3u,96000,900,0,120,4.045,1,4,7,15,60,2,11208.263,29.516,37743.147,0.0,4.045,0.056,3640.14,50.558,33.88,0.642,2.261,72,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,175.72,sglang,0.5.14,gb300,2,1,4,4,2,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,232.254,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,50.558
/tmp/n3u,96000,900,0,104,3.591,1,2,7,26,52,2,6319.12,27.615,31145.005,0.0,3.591,0.05,3231.9,44.887,36.212,0.57,2.095,72,4,1,2,4,2,1,tp4pp1dp2etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,158.07,sglang,0.5.14,gb300,4,1,2,1,8,tp4pp1dp2etp1ep8,bfloat16,bfloat16,bfloat16,bfloat16,half,272.023,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,44.887
/tmp/n3u,96000,900,0,72,2.889,1,4,5,6,24,3,11208.263,24.029,32810.334,0.0,2.889,0.045,2600.1,40.627,41.617,0.642,1.111,64,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,175.72,sglang,0.5.14,gb300,2,1,4,8,1,tp2pp1dp4etp8ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,187.342,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,36.11288888888889
/tmp/n3u,96000,900,0,48,2.565,1,2,5,8,16,3,6319.12,18.246,22722.274,0.0,2.565,0.04,2308.5,36.07,54.807,0.57,0.975,64,4,1,2,4,2,1,tp4pp1dp2etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,158.07,sglang,0.5.14,gb300,4,1,2,8,1,tp4pp1dp2etp8ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,182.199,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,32.062222222222225
/tmp/n3u,96000,900,0,40,2.565,1,2,5,5,10,4,6319.12,15.815,20536.805,0.0,2.565,0.036,2308.5,32.062,63.231,0.57,0.703,72,4,1,2,4,2,1,tp4pp1dp2etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,158.07,sglang,0.5.14,gb300,4,1,2,8,1,tp4pp1dp2etp8ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,167.229,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,32.062
/tmp/n3u,96000,900,0,11,0.794,1,1,2,11,11,1,4081.271,13.902,16579.169,0.0,0.794,0.033,714.42,29.768,71.932,0.441,0.88,24,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,150.484,sglang,0.5.14,gb300,8,1,1,4,2,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,189.584,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,29.768000000000004
/tmp/n3u,96000,900,0,6,0.513,1,2,1,3,3,2,6319.12,11.711,16847.309,0.0,0.513,0.032,461.7,28.856,85.393,0.57,0.285,16,4,1,2,4,2,1,tp4pp1dp2etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,158.07,sglang,0.5.14,gb300,4,1,1,2,2,tp4pp1dp1etp2ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,277.248,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,25.64977777777778
/tmp/n3u,96000,900,0,20,2.033,1,2,4,2,2,10,6319.12,10.087,15387.333,0.0,2.033,0.028,1829.88,25.415,99.136,0.57,0.221,72,4,1,2,4,2,1,tp4pp1dp2etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,158.07,sglang,0.5.14,gb300,4,1,1,2,2,tp4pp1dp1etp2ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,272.258,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,25.415
/tmp/n3u,96000,900,0,4,0.397,1,1,1,4,4,1,4081.271,9.39,12522.881,0.0,0.397,0.025,357.21,22.326,106.499,0.441,0.474,16,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,150.484,sglang,0.5.14,gb300,8,1,1,8,1,tp8pp1dp1etp8ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,154.652,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,19.845333333333333
/tmp/n3u,96000,900,0,15,1.588,1,1,4,3,3,5,4081.271,8.773,11968.198,0.0,1.588,0.022,1428.84,19.845,113.992,0.441,0.38,72,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,150.484,sglang,0.5.14,gb300,8,1,1,2,4,tp8pp1dp1etp2ep4,bfloat16,bfloat16,bfloat16,bfloat16,half,149.662,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,19.845
/tmp/n3u,96000,900,0,4,0.486,1,2,1,1,1,4,6319.12,8.403,13873.417,0.0,0.486,0.02,437.184,18.216,118.998,0.57,0.132,24,4,1,2,4,2,1,tp4pp1dp2etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,158.07,sglang,0.5.14,gb300,4,1,1,4,1,tp4pp1dp1etp4ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,267.268,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,18.216
/tmp/n3u,96000,900,0,5,0.794,1,1,2,1,1,5,4081.271,6.284,9730.587,0.0,0.794,0.014,714.42,12.758,159.133,0.441,0.177,56,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,150.484,sglang,0.5.14,gb300,8,1,1,4,2,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.682,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,9.922888888888888
