model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,encoder_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)cp,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,(e)workers,(e)tp,(e)pp,(e)parallel,(e)memory,power_w,tokens/s/gpu_cluster
/tmp/n3u,96000,900,92000,192,6.144,1,4,1,24,96,2,526.901,31.984,29280.517,0.0,6.144,0.256,5529.384,230.391,31.266,13.665,3.339,24,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,162.805,sglang,0.5.14,gb300,2,1,4,2,4,tp2pp1dp4etp2ep4,bfloat16,bfloat16,bfloat16,bfloat16,half,277.165,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,230.391
/tmp/n3u,96000,900,92000,120,4.16,1,4,1,15,60,2,526.901,29.516,27061.785,0.0,4.16,0.173,3744.216,156.009,33.88,13.665,2.261,24,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,162.805,sglang,0.5.14,gb300,2,1,4,4,2,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,232.254,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,156.009
/tmp/n3u,96000,900,92000,104,3.895,1,1,2,26,52,2,313.562,27.327,24880.535,0.0,3.895,0.162,3505.752,146.073,36.594,5.74,2.117,24,4,1,1,4,1,1,tp4pp1dp1etp4ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,267.577,sglang,0.5.14,gb300,4,1,2,4,2,tp4pp1dp2etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,272.023,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,146.073
/tmp/n3u,96000,900,92000,56,2.672,1,1,1,28,28,2,213.41,21.447,19494.263,0.0,2.672,0.111,2404.512,100.188,46.627,8.434,1.452,24,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.991,sglang,0.5.14,gb300,8,1,1,8,1,tp8pp1dp1etp8ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,274.417,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,100.188
/tmp/n3u,96000,900,92000,48,2.512,1,1,1,24,24,2,213.41,19.564,17801.446,0.0,2.512,0.105,2260.44,94.185,51.115,8.434,1.365,24,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.991,sglang,0.5.14,gb300,8,1,1,8,1,tp8pp1dp1etp8ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,254.456,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,94.185
/tmp/n3u,96000,900,92000,44,2.418,1,1,1,22,22,2,213.41,18.622,16954.588,0.0,2.418,0.101,2175.984,90.666,53.701,8.434,1.314,24,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.991,sglang,0.5.14,gb300,8,1,1,8,1,tp8pp1dp1etp8ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,244.476,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,90.666
/tmp/n3u,96000,900,92000,40,2.315,1,1,1,20,20,2,213.41,17.679,16106.831,0.0,2.315,0.096,2083.248,86.802,56.564,8.434,1.258,24,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.991,sglang,0.5.14,gb300,8,1,1,8,1,tp8pp1dp1etp8ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,234.496,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,86.802
/tmp/n3u,96000,900,92000,36,2.201,1,1,1,18,18,2,213.41,16.736,15259.074,0.0,2.201,0.092,1980.576,82.524,59.751,8.434,1.196,24,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.991,sglang,0.5.14,gb300,8,1,1,8,1,tp8pp1dp1etp8ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,224.515,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,82.524
/tmp/n3u,96000,900,92000,32,2.061,1,1,1,16,16,2,213.41,15.896,14503.914,0.0,2.061,0.086,1854.72,77.28,62.909,8.434,1.12,24,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.991,sglang,0.5.14,gb300,8,1,1,8,1,tp8pp1dp1etp8ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,214.535,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,77.28
/tmp/n3u,96000,900,92000,30,1.947,1,1,1,15,15,2,213.41,15.776,14396.034,0.0,1.947,0.081,1752.048,73.002,63.389,8.434,1.058,24,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.991,sglang,0.5.14,gb300,8,1,1,4,2,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,209.545,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,73.002
/tmp/n3u,96000,900,92000,28,1.934,1,1,1,14,14,2,213.41,14.814,13531.196,0.0,1.934,0.081,1740.456,72.519,67.505,8.434,1.051,24,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.991,sglang,0.5.14,gb300,8,1,1,8,1,tp8pp1dp1etp8ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,204.554,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,72.519
/tmp/n3u,96000,900,92000,26,1.798,1,1,1,13,13,2,213.41,14.799,13517.711,0.0,1.798,0.075,1617.912,67.413,67.574,8.434,0.977,24,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.991,sglang,0.5.14,gb300,8,1,1,4,2,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,199.564,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,67.413
/tmp/n3u,96000,900,92000,24,1.757,1,1,1,12,12,2,213.41,13.983,12784.127,0.0,1.757,0.073,1581.48,65.895,71.516,8.434,0.955,24,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.991,sglang,0.5.14,gb300,8,1,1,8,1,tp8pp1dp1etp8ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,194.574,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,65.895
/tmp/n3u,96000,900,92000,22,1.619,1,1,1,11,11,2,213.41,13.902,12711.308,0.0,1.619,0.067,1457.28,60.72,71.932,8.434,0.88,24,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.991,sglang,0.5.14,gb300,8,1,1,4,2,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,189.584,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,60.72
/tmp/n3u,96000,900,92000,20,1.49,1,1,1,10,10,2,213.41,13.741,12566.569,0.0,1.49,0.062,1341.36,55.89,72.777,8.434,0.81,24,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.991,sglang,0.5.14,gb300,8,1,1,2,4,tp8pp1dp1etp2ep4,bfloat16,bfloat16,bfloat16,bfloat16,half,184.594,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,55.89000000000001
/tmp/n3u,96000,900,92000,18,1.45,1,1,1,9,9,2,213.41,12.708,11637.902,0.0,1.45,0.06,1304.928,54.372,78.692,8.434,0.788,24,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.991,sglang,0.5.14,gb300,8,1,1,8,1,tp8pp1dp1etp8ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,179.603,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,54.37199999999999
/tmp/n3u,96000,900,92000,15,1.311,1,1,1,3,3,5,313.562,11.711,10841.751,0.0,1.311,0.055,1179.9,49.162,85.393,5.74,0.285,24,4,1,1,4,1,1,tp4pp1dp1etp4ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,267.577,sglang,0.5.14,gb300,4,1,1,2,2,tp4pp1dp1etp2ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,277.248,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,49.162
/tmp/n3u,96000,900,92000,14,1.236,1,1,1,7,7,2,213.41,11.584,10627.426,0.0,1.236,0.052,1112.832,46.368,86.327,8.434,0.672,24,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.991,sglang,0.5.14,gb300,8,1,1,8,1,tp8pp1dp1etp8ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,169.623,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,46.368
/tmp/n3u,96000,900,92000,12,1.132,1,1,1,6,6,2,213.41,10.845,9963.065,0.0,1.132,0.047,1018.44,42.435,92.205,8.434,0.615,24,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.991,sglang,0.5.14,gb300,8,1,1,8,1,tp8pp1dp1etp8ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,164.633,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,42.435
/tmp/n3u,96000,900,92000,10,1.017,1,1,1,2,2,5,313.562,10.087,9381.775,0.0,1.017,0.042,914.94,38.122,99.136,5.74,0.221,24,4,1,1,4,1,1,tp4pp1dp1etp4ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,267.577,sglang,0.5.14,gb300,4,1,1,2,2,tp4pp1dp1etp2ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,272.258,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,38.122
/tmp/n3u,96000,900,92000,8,0.872,1,1,1,4,4,2,213.41,9.39,8655.02,0.0,0.872,0.036,784.944,32.706,106.499,8.434,0.474,24,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.991,sglang,0.5.14,gb300,8,1,1,8,1,tp8pp1dp1etp8ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,154.652,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,32.706
/tmp/n3u,96000,900,92000,6,0.727,1,1,1,3,3,2,213.41,8.441,7801.869,0.0,0.727,0.03,654.12,27.255,118.474,8.434,0.395,24,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.991,sglang,0.5.14,gb300,8,1,1,8,1,tp8pp1dp1etp8ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,149.662,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,27.255
/tmp/n3u,96000,900,92000,5,0.607,1,1,1,1,1,5,313.562,8.403,7867.859,0.0,0.607,0.025,546.48,22.77,118.998,5.74,0.132,24,4,1,1,4,1,1,tp4pp1dp1etp4ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,267.577,sglang,0.5.14,gb300,4,1,1,4,1,tp4pp1dp1etp4ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,267.268,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,22.77
/tmp/n3u,96000,900,92000,4,0.548,1,1,1,2,2,2,213.41,7.476,6934.334,0.0,0.548,0.023,493.488,20.562,133.754,8.434,0.298,24,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.991,sglang,0.5.14,gb300,8,1,1,4,2,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,144.672,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,20.562
/tmp/n3u,96000,900,92000,2,0.326,1,1,1,1,1,2,213.41,6.284,5862.726,0.0,0.326,0.014,293.112,12.213,159.133,8.434,0.177,24,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.991,sglang,0.5.14,gb300,8,1,1,4,2,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.682,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,12.213
