model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,encoder_latency,encoder_memory,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,cp,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
/tmp/n3u,96000,900,92000,80,2.598,20,80,768.754,33.424,30817.257,0,0.0,2.598,0.325,2335.757,291.97,29.918,8,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,270.583,0.022,1.0,19.0,96019.0,96000,19.0,sglang,0.5.14,gb300,0.0,291.97
/tmp/n3u,96000,900,92000,64,2.218,16,64,712.783,31.275,28828.644,0,0.0,2.218,0.277,1993.608,249.201,31.975,8,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,250.621,0.018,1.0,15.0,96015.0,96000,15.0,sglang,0.5.14,gb300,0.0,249.20099999999996
/tmp/n3u,96000,900,92000,64,2.212,16,64,1169.496,30.521,28608.292,0,0.0,2.212,0.276,1988.314,248.539,32.764,8,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,264.098,0.009,2.0,14.0,192014.0,192000,14.0,sglang,0.5.14,gb300,0.0,248.53899999999996
/tmp/n3u,96000,900,92000,60,2.103,15,60,1169.044,30.074,28205.197,0,0.0,2.103,0.263,1890.328,236.291,33.252,8,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,259.108,0.008,2.0,13.0,192013.0,192000,13.0,sglang,0.5.14,gb300,0.0,236.29100000000003
/tmp/n3u,96000,900,92000,56,2.022,14,56,684.912,29.977,27633.923,0,0.0,2.022,0.253,1817.812,227.226,33.359,8,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,240.641,0.016,1.0,13.0,96013.0,96000,13.0,sglang,0.5.14,gb300,0.0,227.226
/tmp/n3u,96000,900,92000,56,2.017,14,56,1142.625,29.21,27402.176,0,0.0,2.017,0.252,1813.593,226.699,34.235,8,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,254.117,0.008,2.0,12.0,192012.0,192000,12.0,sglang,0.5.14,gb300,0.0,226.699
/tmp/n3u,96000,900,92000,52,1.896,13,52,1142.182,28.831,27061.648,0,0.0,1.896,0.237,1704.929,213.116,34.684,8,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,249.127,0.007,2.0,11.0,192011.0,192000,11.0,sglang,0.5.14,gb300,0.0,213.116
/tmp/n3u,96000,900,92000,48,1.866,24,48,495.226,28.128,25782.534,0,0.0,1.866,0.233,1677.881,209.735,35.551,8,4,1,2,4,2,1,tp4pp1dp2etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,272.894,0.027,1.0,23.0,96023.0,96000,23.0,sglang,0.5.14,gb300,0.0,209.735
/tmp/n3u,96000,900,92000,48,1.802,12,48,1115.79,27.96,26251.726,0,0.0,1.802,0.225,1620.006,202.501,35.766,8,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,244.136,0.007,2.0,10.0,192010.0,192000,10.0,sglang,0.5.14,gb300,0.0,202.501
/tmp/n3u,96000,900,92000,44,1.673,11,44,1115.358,27.58,25909.645,0,0.0,1.673,0.209,1504.291,188.036,36.258,8,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,239.146,0.006,2.0,9.0,192009.0,192000,9.0,sglang,0.5.14,gb300,0.0,188.036
