pd,gpus,policy,clients,clients_per_gpu,req_per_s,total_tok_s_gpu,out_tok_s_gpu,hit_rate,ttft_p50_s,ttft_p95_s,tpot_mean_ms,tpot_p90_ms,p90_interactivity,in_tok_per_req,out_per_req,sub_share,wait_p95_s,lat_mean_s,n
12:4,64,kv,192,3.0,2.703,3613.9,33.97,0.946,0.069,1.1,10.13,12.18,82.1,84754,804,0.744,0.057,8.41,9732
11:5,64,kv,192,3.0,2.601,3482.6,32.68,0.947,0.069,1.019,9.18,10.42,96.0,84875,804,0.735,0.052,7.6,9365
12:4,64,kv,576,9.0,8.104,11495.2,100.9,0.924,0.095,1.903,42.59,71.14,14.1,89983,797,0.762,0.751,33.83,29175
11:5,64,kv,576,9.0,8.731,12177.0,107.49,0.922,0.096,2.053,28.83,50.9,19.6,88473,788,0.768,1.003,23.16,31431
12:4,64,kv,1152,18.0,10.865,13112.9,111.02,0.896,0.093,1.848,178.05,219.42,4.6,76589,654,0.843,0.593,117.22,39113
10:6,64,kv,192,3.0,2.556,3407.2,31.91,0.944,0.067,1.107,8.71,9.54,104.8,84521,799,0.731,0.032,7.2,9201
11:5,64,kv,1152,18.0,13.042,16507.4,141.54,0.899,0.099,2.376,127.32,171.02,5.8,80311,695,0.833,1.321,88.92,46951
8:8,64,kv,192,3.0,2.506,3329.1,31.21,0.946,0.069,1.07,8.17,9.1,109.9,84211,797,0.726,0.04,6.74,9023
10:6,64,kv,576,9.0,8.669,12313.2,107.51,0.92,0.099,2.414,21.72,39.9,25.1,90105,794,0.763,1.405,17.93,31210
8:8,64,kv,576,9.0,8.564,12147.9,106.27,0.922,0.107,2.885,15.35,27.58,36.3,89984,794,0.761,1.897,12.81,30832
8:8,64,kv,1152,18.0,18.629,24663.1,211.72,0.904,0.441,12.784,68.34,108.1,9.3,84005,727,0.822,12.488,50.42,67063
8:8,64,rr,96,1.5,1.676,2321.8,19.51,0.752,0.317,5.384,8.0,9.1,109.9,87940,745,0.777,1.888,7.04,6032
8:8,64,rr,192,3.0,2.984,4082.9,36.93,0.717,0.611,8.641,8.92,10.42,96.0,86779,792,0.755,6.736,9.05,10742
8:8,64,rr,384,6.0,6.417,9078.9,77.91,0.677,14.158,82.14,22.98,33.74,29.6,89772,777,0.792,80.971,41.6,23101
6:10,64,kv,576,9.0,10.015,13891.3,122.04,0.91,0.19,6.882,16.53,30.66,32.6,87993,780,0.782,6.5,14.21,36053
8:8,64,rr,576,9.0,5.535,7074.9,64.06,0.576,60.293,223.366,44.71,54.86,18.2,81069,741,0.802,222.117,112.42,19925
8:8,64,rr,768,12.0,5.121,5768.6,54.73,0.489,166.025,368.309,71.61,75.98,13.2,71408,684,0.824,366.975,207.13,18436
8:8,64,rr,1152,18.0,4.519,4694.0,42.59,0.396,331.791,532.227,124.2,128.78,7.8,65881,603,0.835,530.587,397.9,16267
8:8,64,kv-tuned,192,3.0,2.502,3325.3,31.16,0.952,0.08,1.696,8.18,8.66,115.5,84255,797,0.726,0.918,6.84,9008
6:10,64,kv,768,12.0,15.523,20496.6,180.89,0.9,3.295,21.812,30.16,52.66,19.0,83760,746,0.819,21.496,27.68,55883
8:8,64,kv-tuned,384,6.0,5.396,8124.1,69.7,0.94,0.091,2.435,10.92,13.94,71.7,95538,827,0.719,1.828,9.3,19424
8:8,64,kv-tuned,576,9.0,8.734,12311.2,108.19,0.935,0.101,2.298,15.56,28.02,35.7,89418,793,0.763,1.707,12.84,31443
6:10,64,kv,1152,18.0,14.494,17247.4,152.13,0.853,51.0,88.887,75.85,99.3,10.1,75484,672,0.843,88.516,100.03,52180
8:8,64,kv-tuned,768,12.0,13.197,18004.1,159.52,0.933,0.111,2.285,28.32,49.58,20.2,86537,774,0.796,1.724,21.99,47510
7:9,64,kv,576,9.0,9.518,13255.6,117.06,0.908,0.123,4.659,16.68,29.78,33.6,88347,787,0.776,3.856,13.97,34264
8:8,64,kv-tuned,1152,18.0,18.429,24833.6,214.5,0.925,0.123,3.227,64.84,105.46,9.5,85497,745,0.814,2.733,47.34,66344
7:9,64,kv,768,12.0,14.913,19945.8,175.87,0.903,0.451,7.733,30.2,54.42,18.4,84845,755,0.811,7.193,24.02,53686
7:9,64,kv,1152,18.0,18.353,23036.2,198.31,0.875,13.588,47.7,70.54,104.58,9.6,79638,692,0.838,47.308,64.54,66072
8:8,64,kv,96,1.5,1.555,2131.4,17.87,0.954,0.048,0.677,7.85,8.66,115.5,87002,736,0.769,0.0,5.93,5597
8:8,64,kv,384,6.0,5.571,8379.0,72.03,0.915,0.093,2.927,11.25,14.38,69.5,95438,828,0.724,1.824,9.72,20054
8:8,64,kv,768,12.0,14.144,19034.0,168.3,0.903,0.163,4.387,32.07,55.74,17.9,85367,762,0.806,3.688,24.85,50917
8:8,64,kv,960,15.0,16.753,22805.0,196.34,0.896,0.506,8.112,51.98,84.78,11.8,86369,750,0.814,7.617,40.1,60311
